ID,Months_On_Book,Credit_Limit,Opening_Balance,Ending_Balance,Over_limit_Amount,Actual_Min_Pay_Due,Total_Min_Pay_Due,Net_Payments_During_Cycle,Net_Purchases_During_Cycle,Net_Cash_Advances_During_Cycle,Net_Fees,Net_Behavior_Fees_Billed_During,Net_Concessions_Billed_During_Cy,Score1,Score2,Utility,Bad
A1,98,350,141,6,0,6,6,141,0,0,6,0,0,38.12571678,982,0.017228571,0
A2,86,450,569,504,54,20,74,160,81,0,6,8,0,168.535118,696,1.120111111,0
A3,91,300,-2,-16,0,0,0,20,0,0,6,0,0,211.3543495,997,-0.053333333,0
A4,164,650,641,648,0,20,20,20,15,0,1,11,0,891.8713215,704,0.997030769,0
A5,164,250,172,200,0,20,20,50,74,0,0,4,0,189.3238941,726,0.80164,0
A6,161,450,268,301,0,20,20,40,67,0,1,5,0,465.97669,748,0.669088889,0
A7,161,650,370,378,0,20,20,100,99,0,1,7,0,463.3196245,786,0.580784615,0
A8,157,850,30,30,0,20,20,30,29,0,1,0,0,797.5566664,978,0.035611765,0
A9,110,350,274,332,0,20,20,100,150,0,3,5,0,821.6969156,725,0.949314286,0
A10,93,350,353,404,54,20,74,23,14,0,54,6,0,597.0518742,695,1.153142857,0
A11,156,950,0,0,0,0,0,0,0,0,0,0,0,863.6242541,0,0,0
A12,154,825,309,232,0,20,20,100,19,0,0,5,0,432.4514131,904,0.281406061,0
A13,107,450,491,349,0,20,20,300,146,0,5,7,0,852.3827533,738,0.775444444,0
A14,154,350,361,336,0,20,20,62,26,0,5,6,0,503.1379233,710,0.959457143,0
A15,101,800,401,667,0,21,21,50,301,0,6,10,0,954.5297979,729,0.834075,0
A16,96,550,12,54,0,25,25,12,0,0,54,0,0,993.8205315,968,0.098181818,0
A17,98,450,387,379,0,20,20,20,0,0,6,6,0,566.592213,737,0.842911111,0
A18,87,300,278,270,0,20,20,20,0,0,6,7,0,697.7750395,736,0.9016,0
A19,150,450,443,450,0,20,20,30,0,22,6,9,0,502.1568029,692,1.000911111,0
A20,148,"1,100",321,294,0,20,20,100,62,0,6,5,0,387.398284,914,0.267136364,0
A21,123,975,837,828,0,25,25,26,0,0,3,14,0,398.8194366,738,0.849241026,0
A22,149,800,710,670,0,21,21,62,0,0,6,17,0,192.8598892,722,0.8376,0
A23,150,500,433,335,0,20,20,110,0,0,6,6,0,31.39744937,839,0.66958,0
A24,149,700,669,6,0,6,6,696,27,0,6,0,0,214.2465107,,0.008571429,0
A25,144,950,966,988,38,30,68,50,0,0,56,16,0,519.3113461,679,1.040178947,0
A26,107,400,376,407,7,25,32,30,47,0,6,8,0,393.933458,,1.0182,0
A27,84,250,160,168,0,20,20,80,22,0,65,2,0,668.299626,813,0.67368,0
A28,145,450,396,462,12,20,32,50,103,0,6,7,0,133.5904044,747,1.027111111,0
A29,140,550,497,536,0,20,20,100,114,0,17,8,0,853.9496595,712,0.975,0
A30,140,"2,500","1,893","1,969",0,60,60,150,188,0,6,32,0,850.9383476,764,0.787492,0
A31,138,250,-1,-2,0,0,0,6,0,0,5,0,0,300.0969447,994,-0.006,0
A32,140,800,267,589,0,20,20,60,369,0,6,8,0,982.0411592,728,0.736325,0
A33,86,250,306,90,0,20,20,226,0,0,6,4,0,511.3681287,838,0.361,0
A34,139,450,294,94,0,20,20,294,94,0,0,0,0,1.137480307,918,0.208644444,0
A35,137,350,332,320,0,20,20,25,0,0,6,7,0,72.19372393,707,0.915285714,0
A36,137,450,324,330,0,20,20,30,30,0,0,6,0,578.0618927,774,0.733644444,0
A37,87,300,-1,5,0,5,5,0,0,0,6,0,0,916.6124017,972,0.015833333,0
A38,140,450,365,387,0,20,20,35,0,43,6,8,0,990.0808671,720,0.859466667,0
A39,136,700,508,503,0,20,20,20,0,0,6,8,0,905.0037466,754,0.718542857,0
A40,85,250,199,178,0,20,20,30,0,0,6,3,0,888.2011616,792,0.71248,0
A41,135,350,334,315,0,20,20,30,0,0,6,5,0,847.6624098,758,0.901314286,0
A42,123,700,117,97,0,20,20,25,0,0,3,2,0,996.5914965,969,0.137928571,0
A43,103,450,65,176,0,20,20,164,268,0,6,0,0,585.4116244,902,0.391111111,0
A44,113,350,249,356,6,20,26,25,123,0,3,6,0,672.2307131,705,1.017942857,0
A45,110,700,158,79,0,20,20,85,0,0,3,2,0,481.8385788,965,0.112157143,0
A46,89,250,249,240,0,20,20,20,0,0,6,5,0,425.5511941,726,0.9612,0
A47,119,550,-36,-30,0,0,0,0,0,0,6,0,0,534.4541445,980,-0.054545455,0
A48,116,450,255,292,0,20,20,50,76,0,6,5,0,338.4383621,772,0.648311111,0
A49,124,400,402,427,27,20,47,70,37,43,6,9,0,260.8844873,697,1.066675,0
A50,97,"1,100","1,114","1,114",14,34,48,80,56,0,6,18,0,595.4562843,725,1.013045455,0
A51,132,550,545,590,40,20,60,20,0,0,56,9,0,209.6464374,659,1.0736,0
A52,132,250,220,294,44,20,64,20,34,0,56,4,0,169.2482807,682,1.17596,0
A53,90,300,12,6,0,6,6,12,0,0,6,0,0,979.959295,983,0.02,0
A54,97,400,373,322,0,20,20,373,0,303,6,13,0,706.2550691,1000,0.80555,0
A55,131,550,134,408,0,20,20,134,402,0,6,0,0,445.5924868,758,0.741363636,0
A56,131,550,512,499,0,20,20,50,23,0,6,9,0,324.17676,732,0.907418182,0
A57,131,"1,500",793,787,0,24,24,25,0,0,6,13,0,165.3118939,798,0.52464,0
A58,114,500,153,485,0,20,20,60,385,0,3,3,0,268.0819388,713,0.96964,0
A59,129,"1,000",594,509,0,20,20,100,0,0,5,10,0,801.4590851,846,0.50896,0
A60,129,550,500,465,0,20,20,50,0,0,6,8,0,2.744018416,742,0.844545455,0
A61,129,450,410,448,0,20,20,50,75,0,6,7,0,425.7971324,694,0.994644444,0
A62,128,600,0,0,0,0,0,5,0,0,5,0,0,368.2723004,1000,0,0
A63,128,"1,150",302,978,0,30,30,50,719,0,5,2,0,684.1614236,770,0.850113044,0
A64,115,500,12,-2,0,0,0,20,0,0,6,0,0,835.6787495,841,-0.00414,0
A65,127,500,487,484,0,20,20,20,0,0,6,11,0,885.1729116,703,0.96774,0
A66,95,400,55,6,0,6,6,55,0,0,6,0,0,490.4661019,955,0.0145,0
A67,126,"1,000",974,961,0,29,29,35,0,0,6,16,0,215.4372715,716,0.96134,0
A68,126,950,724,611,0,20,20,130,0,0,6,11,0,276.9390865,771,0.643284211,0
A69,112,350,-137,-132,0,0,0,0,0,0,5,0,0,384.6129289,792,-0.377714286,0
A70,126,"1,000",951,912,0,28,28,60,0,0,6,16,0,318.2676913,731,0.91249,0
A71,125,800,511,606,0,25,25,125,155,43,6,16,0,460.6139802,762,0.756925,0
A72,109,350,257,285,0,20,20,50,66,0,5,7,0,336.7258897,839,0.815057143,0
A73,125,850,590,505,0,25,25,100,0,0,6,9,0,953.5001493,815,0.593588235,0
